Trial ID,Cancer Type,Trial Name,Location,Contact Info,Status
LU1000,Lung Cancer,Lung Cancer Trial #1,"Phoenix, Arizona",lung_cancer@trials.org / (800) 555-1000,Recruiting
LU1001,Lung Cancer,Lung Cancer Trial #2,"Dallas, Texas",lung_cancer@trials.org / (800) 555-1001,Recruiting
LU1002,Lung Cancer,Lung Cancer Trial #3,"San Diego, California",lung_cancer@trials.org / (800) 555-1002,Recruiting
LU1003,Lung Cancer,Lung Cancer Trial #4,"Austin, Texas",lung_cancer@trials.org / (800) 555-1003,Recruiting
LU1004,Lung Cancer,Lung Cancer Trial #5,"Seattle, Washington",lung_cancer@trials.org / (800) 555-1004,Recruiting
LU1005,Lung Cancer,Lung Cancer Trial #6,"Columbus, Ohio",lung_cancer@trials.org / (800) 555-1005,Recruiting
LU1006,Lung Cancer,Lung Cancer Trial #7,"Jacksonville, Florida",lung_cancer@trials.org / (800) 555-1006,Recruiting
LU1007,Lung Cancer,Lung Cancer Trial #8,"Denver, Colorado",lung_cancer@trials.org / (800) 555-1007,Recruiting
LU1008,Lung Cancer,Lung Cancer Trial #9,"Boston, Massachusetts",lung_cancer@trials.org / (800) 555-1008,Recruiting
LU1009,Lung Cancer,Lung Cancer Trial #10,"Charlotte, North Carolina",lung_cancer@trials.org / (800) 555-1009,Recruiting
LU1010,Lung Cancer,Lung Cancer Trial #11,"San Jose, California",lung_cancer@trials.org / (800) 555-1010,Recruiting
LU1011,Lung Cancer,Lung Cancer Trial #12,"El Paso, Texas",lung_cancer@trials.org / (800) 555-1011,Recruiting
LU1012,Lung Cancer,Lung Cancer Trial #13,"Oklahoma City, Oklahoma",lung_cancer@trials.org / (800) 555-1012,Recruiting
LU1013,Lung Cancer,Lung Cancer Trial #14,"Indianapolis, Indiana",lung_cancer@trials.org / (800) 555-1013,Recruiting
LU1014,Lung Cancer,Lung Cancer Trial #15,"San Francisco, California",lung_cancer@trials.org / (800) 555-1014,Recruiting
LU1015,Lung Cancer,Lung Cancer Trial #16,"Nashville, Tennessee",lung_cancer@trials.org / (800) 555-1015,Recruiting
